param_name,车型10_14.98,车型11_16.68,车型12_16.68,车型13_17.88,车型14_17.98,车型15_19.28,车型16_20.28,车型17_20.28,车型1_13.88,车型2_16.18,车型3_16.18,车型4_17.18,车型5_18.68,车型6_19.78,车型7_14.98,车型8_17.98,车型9_14.98
/头部(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OTA级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USB/Type-C数量,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个
上市,2025.09,2025.09,2025.09,2025.09,2025.05,2025.09,2025.04,2023.04,2025.09,2023.02,2023.04,2023.02,2023.02,2023.02,2022.10,2022.10,2025.09
中控屏幕尺寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主座椅方式,后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向)
内后视镜功能,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目 流媒体,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目
制动类型,电子,电子,手刹,手刹,电子,电子,电子,电子,手刹,手刹,电子,电子,手刹,电子,电子,电子,手刹
副座椅方式,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背
厂商指导价,14.98,16.68,16.68,17.88,17.98,19.28,20.28,20.28,13.88,16.18,16.18,17.18,18.68,19.78,14.98,17.98,14.98
