param_name,车型10_20.18,车型11_22.18,车型1_17.38,车型2_18.58,车型3_18.98,车型4_19.18,车型5_19.83,车型6_20.03,车型7_21.98,车型8_22.18,车型9_19.98
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G
NEDC(L/100km),8.3,8.3,8.3,8,8.3,8.3,8.3,8.3,8.3,8.3,8.3
USB/Type-C数量,排3个/3个,排3个/3个,排3个/3个,排2个/2个,排3个/3个,排3个/3个,排3个/3个,排3个/3个,排3个/3个,排3个/3个,排3个/3个
WLTC(L/100km),9.2,9.2,9.2,-,9.2,9.2,9.2,9.2,9.2,9.2,9.2
上市,2023.07,2023.07,2023.02,2023.04,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.07
中控屏幕尺寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,-,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腰部(2向),后 靠背 高低(4向) 腰部(2向),后 靠背 高低(2向),后 靠背 高低(4向),后 靠背 高低(4向),后 靠背 高低(4向),后 靠背 高低(4向) 腰部(2向),后 靠背 高低(4向) 腰部(2向),后 靠背 高低(4向) 腰部(2向),后 靠背 高低(4向) 腰部(2向),后 靠背 高低(4向) 腰部(2向)
内后视镜功能,手动防眩目,自动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,自动防眩目,自动防眩目,手动防眩目
制动类型,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背
厂商指导价,20.18,22.18,17.38,18.58,18.98,19.18,19.83,20.03,21.98,22.18,19.98
发动机,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4
发动机型,ECOBOOST4G20D6L,ECOBOOST4G20D6L,ECOBOOST4G20D6L,ECOBOOST4G20D6L,ECOBOOST4G20D6L,ECOBOOST4G20D6L,ECOBOOST4G20D6L,ECOBOOST4G20D6L,ECOBOOST4G20D6L,ECOBOOST4G20D6L,ECOBOOST4G20D6L
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
变速箱,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
后备厢(L),-,-,-,-,-,-,-,-,-,-,-
地图品牌,腾讯,高德 腾讯,腾讯,腾讯,腾讯,腾讯,腾讯,腾讯,高德 腾讯,高德 腾讯,腾讯
外后视镜功能,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 锁车自动折叠,电动 后视镜,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠
多媒体/充电,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C
天窗类型,可开启全景天窗,可开启全景天窗,-,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗
安全带未系提醒,排,排,排,排,排,排,排,排,排,排,排
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
巡航系统,全速自应巡航,全速自应巡航,-,定速巡航 全速自应巡航,定速巡航,定速巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),7,7,6,5,7,7,7,7,7,7,7
座椅布局,2-2-3,2-2-3,2-2-2,-,2-3-2,2-2-3,2-3-2,2-2-3,2-3-2,2-2-3,2-3-2
感应雨刷功能,雨量感应式,雨量感应式,-,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机APP远程功能,车门控制 车辆启动 空调控制,车门控制 车辆启动 空调控制,车门控制 车辆启动 空调控制,车门控制 车辆启动 空调控制,车门控制 车辆启动 空调控制,车门控制 车辆启动 空调控制,车门控制 车辆启动 空调控制,车门控制 车辆启动 空调控制,车门控制 车辆启动 空调控制,车门控制 车辆启动 空调控制,车门控制 车辆启动 空调控制
手机互联/映射,支持CarLife 支持HUAWEI HiCar,支持CarLife 支持HUAWEI HiCar,支持CarLife 支持HUAWEI HiCar,支持CarLife 支持HUAWEI HiCar,支持CarLife 支持HUAWEI HiCar,支持CarLife 支持HUAWEI HiCar,支持CarLife 支持HUAWEI HiCar,支持CarLife 支持HUAWEI HiCar,支持CarLife 支持HUAWEI HiCar,支持CarLife 支持HUAWEI HiCar,支持CarLife 支持HUAWEI HiCar
手机无线充电功能,排,排,-,-,-,-,排,排,排,排,排
换挡形式,电子式旋钮换挡,电子式旋钮换挡,电子式旋钮换挡,电子式旋钮换挡,电子式旋钮换挡,电子式旋钮换挡,电子式旋钮换挡,电子式旋钮换挡,电子式旋钮换挡,电子式旋钮换挡,电子式旋钮换挡
排座椅功能,通,通,-,-,-,-,通,通,通,通,通
接近角(°),20,20,20,20,20,20,20,20,20,20,20
方向盘位置,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最大净功率(kW),163,163,163,163,163,163,163,163,163,163,163
最大功率(kW),165,165,165,165,165,165,165,165,165,165,165
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大扭矩(N·m),360,360,360,360,360,360,360,360,360,360,360
最大扭矩转速(rpm),3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
最大满载(kg),2375,2375,2375,2145,2375,2375,2375,2375,2375,2375,2375
最大马力(Ps),224,224,224,224,224,224,224,224,224,224,224
最高车速(km/h),195,195,195,195,195,195,195,195,195,195,195
每缸(个),4,4,4,4,4,4,4,4,4,4,4
液晶仪表尺寸,12.3英寸,12.3英寸,7英寸,7英寸,7英寸,7英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,驾驶位,-,-,-,-,-,-,驾驶位,驾驶位,-
离去角(°),24,24,24,24,24,24,24,24,24,24,24
空调温度控制方式,自动空调,自动空调,手动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,后 靠背,后 靠背,后 靠背,靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背
经销商参考价,18.18万起,20.18万起,15.38万起,16.58万起,16.98万起,17.18万起,17.83万起,18.03万起,19.98万起,20.18万起,17.98万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
语音识别控制系统,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,单色,64色,-,-,-,-,单色,单色,64色,64色,单色
车窗一键降功能,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车身结构,5门7座SUV,5门7座SUV,5门6座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
进入功能,排,排,排,排,排,排,排,排,排,排,排
钥匙类型,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙
