param_name,车型1_37.98,车型2_38.98,车型3_42.98
/头部(气帘),/ 后,/ 后,/ 后
4G/5G网络,4G 5G,4G 5G,4G 5G
OTA级,-,-,-
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个
WLTC(L/100km),8.04,8.04,8.13
上市,2025.02,2025.02,2025.02
中控屏幕尺寸,10.1英寸,10.1英寸,10.1英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向)
内后视镜功能,自动防眩目,自动防眩目,自动防眩目
制动类型,电子,电子,电子
副座椅方式,后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向)
厂商指导价,37.98,38.98,42.98
发动机,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 245马力 L4
发动机型,DTG,DTG,DTK
发动机布局,纵置,纵置,纵置
发动机： 2.0T,座位数： 5座,车身结构： SUV跨界车,能源： 汽油
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
后备厢(L),520,520,520
外后视镜功能,电动 电动折叠 后视镜记忆 (￥1000) 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目
多媒体/充电,USB Type-C,USB Type-C,USB Type-C
天窗类型,可开启全景天窗,可开启全景天窗,可开启全景天窗
安全带未系提醒,排,排,排
官方0-100km/h加速(s),9,9,6.9
巡航系统,定速巡航 全速自应巡航 (￥16200),定速巡航 全速自应巡航 (￥16200),定速巡航 全速自应巡航 (￥16200)
座位数(个),5,5,5
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式
手机APP远程功能,车门控制 车辆启动 空调控制 车况查询/诊断,车门控制 车辆启动 空调控制 车况查询/诊断,车门控制 车辆启动 空调控制 车况查询/诊断
手机互联/映射,支持CarPlay,支持CarPlay,支持CarPlay
手机无线充电功能,-,-,-
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡
接近角(°),21,21,21
方向盘位置,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色
最大净功率(kW),140,140,180
最大功率(kW),140,140,180
最大功率转速(rpm),-,-,-
最大扭矩(N·m),320,320,370
最大扭矩转速(rpm),-,-,-
最大满载(kg),2360,2360,2360
最大马力(Ps),190,190,245
最小转弯半径(m),5.9,5.9,5.9
最高车速(km/h),211,211,230
每缸(个),4,4,4
液晶仪表尺寸,12.3英寸,12.3英寸,12.3英寸
满载最小(mm),176,176,176
灯光特色功能,矩阵式 (￥8000),矩阵式 (￥8000),矩阵式
环保标准,国VI,国VI,国VI
电动座椅记忆功能,驾驶位 (￥2500),驾驶位,驾驶位
离去角(°),23,23,23
空调温度控制方式,自动空调,自动空调,自动空调
第二排座椅,-,-,-
第二排座椅功能,(￥3200),(￥3200),(￥3200)
经销商参考价,27.73万起,28.46万起,31.38万起
胎压监测功能,胎压报警,胎压报警,胎压报警
能源类型,汽油,汽油,汽油
语音识别控制系统,多媒体系统 航,多媒体系统 航,多媒体系统 航
超声波雷达数量,12个,12个,12个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,30色,30色,30色
车窗一键降功能,全车,全车,全车
车身结构,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车
车载智能系统,Connect,Connect,Connect
车道保持辅助系统,(￥4600),(￥4400),(￥4400)
车门开启方式,平开门,平开门,平开门
车门控制,车辆启动,空调控制,车况查询/诊断
辅助驾驶等级,L2,L2,L2
进入功能,全车,全车,全车
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),4778*1892*1666,4778*1892*1666,4778*1892*1666
阻系数(Cd),-,-,-
驱动方式,四驱,四驱,四驱
驾驶辅助,360度全景,360度全景,360度全景
