param_name,车型1_26.38,车型2_27.98,车型3_30.18,车型4_26.38,车型5_27.98,车型6_28.48,车型7_30.18
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,4G,4G,4G,4G,4G,4G,4G
OTA级,-,-,-,-,-,-,-
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个
WLTC(L/100km),6.78,7.12,8,6.78,7.12,7.12,8
上市,-,-,-,2025.04,2025.04,2025.04,2025.04
中控屏幕尺寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向)
内后视镜功能,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目
制动类型,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向)
厂商指导价,26.38,27.98,30.18,26.38,27.98,28.48,30.18
发动机,1.5T 160马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,1.5T 160马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4
发动机型,EA211-DSV,EA888-DTH,EA888-DTJ,EA211-DSV,EA888-DTH,EA888-DTH,EA888-DTJ
发动机布局,横置,横置,横置,横置,横置,横置,横置
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
