param_name,车型10_12.19,车型11_12.89,车型12_13.19,车型13_11.39,车型14_11.69,车型15_15.09,车型16_15.39,车型17_12.19,车型18_12.49,车型19_12.49,车型1_16.28,车型20_12.79,车型21_12.39,车型22_12.69,车型23_13.39,车型24_13.69,车型25_11.19,车型26_11.49,车型27_11.99,车型28_12.29,车型29_12.89,车型2_16.58,车型30_13.19,车型31_12.79,车型32_13.09,车型33_13.69,车型34_13.99,车型35_13.79,车型36_14.09,车型3_15.99,车型4_16.29,车型5_10.29,车型6_10.59,车型7_11.29,车型8_11.59,车型9_11.89
/头部(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,/ 后,/ 后,-,-,-,-,-,-,-,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,-,-,-,-,-,-,-
4G/5G网络,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G
NEDC(L/100km),-,-,-,-,-,-,-,-,-,-,8.1,-,-,-,-,-,-,-,-,-,-,8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排3个/2个,排3个/2个,排3个/2个,排2个/2个,排3个/2个,排2个/2个,排2个/2个,排3个/2个,排3个/2个,排2个/2个,排2个/2个,排3个/2个,排3个/2个,排3个/2个,排2个/2个,排3个/2个,排3个/2个,排3个/2个,排3个/2个,排3个/2个,排3个/2个,排3个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个
WLTC(L/100km),7.92,7.92,7.92,7.92,7.92,8.19,8.19,7.92,7.92,7.92,7.96,7.92,7.44,7.44,7.44,7.44,7.92,7.92,7.92,7.92,7.92,7.96,7.92,7.44,7.44,7.44,7.44,7.44,7.44,8.19,8.19,7.85,7.85,7.92,7.92,7.92
上市,2025.01,2025.01,2025.01,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2024.03,2025.08,2025.08,2025.08,2025.08,2025.08,2024.07,2024.07,2024.07,2024.07,2024.07,2024.03,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.09,2024.09,2025.01,2025.01,2025.01,2025.01,2025.01
中控下屏幕尺寸,-,-,-,-,-,-,-,9英寸,9英寸,9英寸,-,9英寸,-,-,9英寸,9英寸,-,-,9英寸,9英寸,9英寸,-,9英寸,9英寸,9英寸,9英寸,9英寸,9英寸,9英寸,-,-,-,-,-,-,-
中控屏幕尺寸,10.25英寸,10.25英寸,10.25英寸,12.3英寸,12.3英寸,10.25英寸,10.25英寸,12.3英寸,12.3英寸,12.3英寸,10.25英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,10.25英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
