param_name,车型1_11.80,车型2_12.80,车型3_13.80,车型4_15.80
/头部(气帘),/ 后,/ 后,/ 后,/ 后
4G/5G网络,4G,4G,4G,4G
USB/Type-C数量,排3个/1个,排3个/1个,排3个/1个,排2个/1个
WLTC(L/100km),5.96,6.25,7.06,7.06
上市,2025.04,2024.05,2024.05,2024.05
中控屏幕尺寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副-,主 / 副,主 / 副-,主 / 副
主座椅方式,后 靠背 高低(2向),后 靠背 高低(2向) 腰部(4向),后 靠背 高低(2向),后 靠背 高低(2向) 腰部(4向)
内后视镜功能,手动防眩目,手动防眩目,手动防眩目,手动防眩目
制动类型,电子,电子,电子,电子
副座椅方式,后 靠背,后 靠背,后 靠背,后 靠背
厂商指导价,11.80,12.80,13.80,15.80
发动机,1.5T 177马力 L4,1.5T 177马力 L4,2.0T 265马力 L4,2.0T 265马力 L4
发动机型,4A15J2,4A15J2,4B20J3,4B20J3
发动机布局,横置,横置,横置,横置
发动机特有技术,-,-,DCVVT,DCVVT
变速箱,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT)
后备厢(L),543,543,543,543
后雨刷,-,-,-,-
地图品牌,高德,高德,高德,高德
外后视镜功能,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠
多媒体/充电,USB,USB,USB,USB
天窗类型,电动天窗,电动天窗,电动天窗,电动天窗
安全带未系提醒,全车,全车,全车,全车
官方0-100km/h加速(s),6.95,6.95,5.7,5.7
巡航系统,定速巡航,全速自应巡航,定速巡航,全速自应巡航
座位数(个),5,5,5,5
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机APP远程功能,车门控制 车辆启动 车灯控制 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 车灯控制 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 车灯控制 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 车灯控制 空调控制 座椅 车况查询/诊断 车辆定位/寻车
手机互联/映射,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay
手机无线充电功能,-,排,-,排
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡
接近角(°),11,11,11,11
放置方式,-,后备厢内,-,后备厢内
方向盘位置,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色
最大净功率(kW),125,125,195,195
最大功率(kW),130,130,195,195
最大功率转速(rpm),5500,5500,5500,5500
最大扭矩(N·m),270,270,400,400
最大扭矩转速(rpm),1500-4000,1500-4000,1750-4250,1750-4250
最大满载(kg),1790,1790,1911,1911
最大马力(Ps),177,177,265,265
最高车速(km/h),200,200,230,230
每缸(个),4,4,4,4
毫米波雷达数量,-,1个,-,1个
液晶仪表尺寸,7英寸,10.25英寸,7英寸,10.25英寸
环保标准,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,驾驶位,-,驾驶位
离去角(°),15,15,14,14
空调温度控制方式,自动空调,自动空调,自动空调,自动空调
第二排座椅,-,-,-,-
经销商参考价,9.80万起,10.80万起,12.80万起,14.80万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,汽油,汽油,汽油,汽油
语音分区域唤醒识别,双区域,双区域,双区域,双区域
语音助手唤醒词,你好，小祺,你好，小祺,你好，小祺,你好，小祺
语音识别控制系统,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗
超声波雷达数量,3个,5个,3个,5个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内数量,-,-,-,1个
车内环境氛围灯,32色,32色,32色,32色
车窗一键降功能,全车,全车,全车,全车
车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车载智能系统,ADiGO,ADiGO,ADiGO,ADiGO
车门开启方式,平开门,平开门,平开门,平开门
辅助泊车入位,-,-,-,-
辅助驾驶等级,-,L2,-,L2
辅助驾驶系统,-,ADiGO,-,ADiGO
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙 钥匙
长*宽*高(mm),4753*1850*1432,4753*1850*1432,4753*1850*1432,4753*1850*1432
阻系数(Cd),0.26,0.26,0.26,0.26
驾驶辅助,360度全景,360度全景,360度全景,360度全景
