param_name,车型1_18.38,车型2_18.98,车型3_23.68,车型4_26.38
/头部(气帘),-,-,-,-
4G/5G网络,4G,4G,4G,4G
OTA级,-,-,-,-
USB/Type-C数量,排1个/1个 排1个/3个,排1个/1个,排1个/1个,排1个/1个
WLTC(L/100km),9.8,9.8,9.8,9.8
上市,2022.03,2023.12,2023.12,2023.12
中控屏幕尺寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,-,-,-,主 / 副
主动刹车/主动安全系统,-,-,-,-
主座椅方式,后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向)
内后视镜功能,手动防眩目,手动防眩目,手动防眩目,自动防眩目
制动类型,电子,电子,电子,电子
副座椅方式,后 靠背,后 靠背,后 靠背,后 靠背
厂商指导价,18.38,18.98,23.68,26.38
发动机,2.0T 237马力 L4,2.0T 237马力 L4,2.0T 237马力 L4,2.0T 237马力 L4
发动机型,G20TG,G20TG,G20TG,G20TG
发动机布局,横置,横置,横置,横置
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
后备厢(L),780-1740,780-1740,780-1740,780-1740
地图品牌,高德,高德,高德,高德
外后视镜功能,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠
多媒体/充电,USB,USB,USB,USB
天窗类型,-,-,电动天窗 手动天窗,电动天窗 手动天窗
安全带未系提醒,主驾驶位,主驾驶位,主驾驶位,主驾驶位
官方0-100km/h加速(s),-,-,-,-
巡航系统,定速巡航,定速巡航,定速巡航,定速巡航
座位数(个),7,7,7,7
座椅布局,2-2-3,2-2-3,2-2-3,2-2-3
感应雨刷功能,-,-,-,-
手机互联/映射,-,-,-,-
手机无线充电功能,-,-,-,-
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡
排座椅功能,-,-,-,-
接近角(°),17,17,17,17
方向盘位置,手动+后,手动+后,手动+后,手动+后
显示屏幕,单色,单色,单色,单色
最大净功率(kW),166,166,166,166
最大功率(kW),174,174,174,174
最大功率转速(rpm),5500,5500,5500,5500
最大扭矩(N·m),390,385,385,385
最大扭矩转速(rpm),1900-3300,1900-3300,1900-3300,1900-3300
最大满载(kg),2710,2710,2710,2710
最大马力(Ps),237,237,237,237
最高车速(km/h),170,170,170,170
每缸(个),4,4,4,4
液晶仪表尺寸,-,-,-,-
满载最小(mm),140,140,140,140
环保标准,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,-,-,-
离去角(°),16,16,16,16
空调温度控制方式,自动空调,自动空调,自动空调,自动空调
第三排座椅,-,-,后 靠背,后 靠背
第三排座椅功能,-,-,通,通
第二排座椅,后 靠背 腿托,后 靠背,后 靠背 腿托 脚踏,后 靠背 腿托 脚踏
第二排座椅功能,-,-,通 按摩,通 按摩
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,汽油,汽油,汽油,汽油
语音识别控制系统,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航
超声波雷达数量,4个,4个,6个,6个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,-,-,单色,多色
车窗一键降功能,驾驶位,驾驶位,驾驶位,驾驶位
车身结构,5门7座,5门7座,5门7座,5门7座
车道保持辅助系统,-,-,-,-
车道偏离系统,-,-,-,-
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
辅助泊车入位,-,-,-,-
进入功能,排,排,排,排
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),5255*1850*1970,5255*1850*1970,5255*1850*1970,5255*1850*1970
阻系数(Cd),-,-,-,-
驾驶辅助,360度全景,360度全景,360度全景,360度全景
