param_name,车型1_15.98,车型2_16.98,车型3_17.98,车型4_14.18,车型5_14.98,车型6_15.68,车型7_15.88,车型8_16.88
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,4G,4G,4G,-,4G,4G,4G,4G
USB/Type-C数量,排1个/2个,排1个/2个,排1个/2个,排1个,排1个,排1个/2个,排1个/2个,排1个/2个
WLTC(L/100km),4.08,4.3,4.41,5.59,5.59,6.15,6.15,6.15
三电系统,八20公里,八20公里,八20公里,-,-,-,-,-
上市,2023.09,2023.09,2023.09,2023.05,2023.05,2023.05,2023.05,2023.05
中控屏幕尺寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,-,主 / 副-,主 / 副,-,-,主 / 副-,主 / 副-,主 / 副
主座椅方式,后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向) 腰部(2向)
内后视镜功能,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目
制动器类型,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背
厂商指导价,15.98,16.98,17.98,14.18,14.98,15.68,15.88,16.88
发动机,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4
发动机型,-,-,-,M20E,M20E,M20E,M20E,M20E
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机特有技术,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡)
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
后备厢(L),-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-
