param_name,车型1_26.78,车型2_29.18,车型3_30.18
/头部(气帘),/ 后,/ 后,/ 后
4G/5G网络,4G,4G,4G
HUD抬头尺寸,10英寸,10英寸,10英寸
USB/Type-C数量,排1个/2个,排1个/2个,排1个/2个
WLTC(L/100km),1.46,1.64,1.64
WLTC纯电续航里程(km),78,73,73
上市,2024.06,2024.06,2024.06
中控屏幕尺寸,10.25英寸,10.25英寸,10.25英寸
中控屏幕类型,LCD,LCD,LCD
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腰部(2向),后 靠背 高低(4向) 腰部(2向),后 靠背 高低(4向) 腰部(2向)
内后视镜功能,手动防眩目,手动防眩目,自动防眩目 流媒体
制动器类型,通盘式,通盘式,通盘式
制动类型,电子,电子,电子
副座椅方式,后 靠背,后 靠背,后 靠背
厂商指导价,26.78,29.18,30.18
发动机,2.5L 180马力 L4,2.5L 180马力 L4,2.5L 180马力 L4
发动机型,A25D,A25D,A25D
发动机布局,横置,横置,横置
发动机特有技术,VVT-iE、VVT-i,VVT-iE、VVT-i,VVT-iE、VVT-i
发动机： 2.5L,座位数： 5座,车身结构： SUV,能源： 插电式混合动力
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
后备厢(L),-,-,-
后电动机品牌,-,汽车,汽车
后电动机最大功率(kW),-,40,40
后电动机最大扭矩(N·m),-,121,121
地图品牌,高德 腾讯,高德 腾讯,高德 腾讯
外后视镜功能,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠
多媒体/充电,USB AUX Type-C,USB AUX Type-C,USB AUX Type-C
天窗类型,可开启全景天窗,可开启全景天窗,可开启全景天窗
安全带未系提醒,全车,全车,全车
官方0-100km/h加速(s),-,-,-
巡航系统,全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),5,5,5
感应雨刷功能,-,-,-
手机APP远程功能,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修
手机互联/映射,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar
手机无线充电功能,-,-,排
换挡形式,挡把换挡,挡把换挡,挡把换挡
接近角(°),17,17,17
放置方式,后备厢内,后备厢内,后备厢内
方向盘位置,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色
最低荷电状态(L/100km),5.26,5.59,5.59
最大净功率(kW),132,132,132
最大功率(kW),194,225,225
最大功率转速(rpm),6000,6000,6000
最大扭矩(N·m),-,-,-
最大扭矩转速(rpm),3600-3700,3600-3700,3600-3700
最大满载(kg),2435,2510,2510
最大马力(Ps),180,180,180
最小转弯半径(m),5.5,5.7,5.7
最高车速(km/h),180,180,180
每缸(个),4,4,4
毫米波雷达数量,1个,1个,3个
液晶仪表尺寸,12.3英寸,12.3英寸,12.3英寸
环保标准,国VI,国VI,国VI
电动座椅记忆功能,-,-,-
电动机(Ps),182,237,237
电动机品牌,爱信,爱信,爱信
电动机总功率(kW),134,174,174
电动机总扭矩(N·m),270,391,391
电动机总马力(Ps),180,237,237
电动机最大功率(kW),134,134,134
电动机最大扭矩(N·m),270,270,270
电机类型,/,/,/
电池(小时),9.5,9.5,9.5
电池冷却方式,液冷,液冷,液冷
电池类型,三,三,三
电池能量(kWh),15.98,15.98,15.98
电芯品牌,新中源,新中源,新中源
百公里耗(kWh/100km),13.2,14.2,14.2
离去角(°),13,13,13
空调温度控制方式,自动空调,自动空调,自动空调
第二排座椅,靠背,靠背,靠背
系统功率(Ps),264,306,306
系统功率(kW),194,225,225
经销商参考价,19.18万起,21.58万起,22.58万起
胎压监测功能,胎压显示,胎压显示,胎压显示
能源类型,插电式混合动力,插电式混合动力,插电式混合动力
语音分区域唤醒识别,单区域,单区域,单区域
语音助手唤醒词,你好，小悦,你好，小悦,你好，小悦
语音识别控制系统,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗
超声波雷达数量,8个,8个,8个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,-,-,单色
车窗一键降功能,全车,全车,全车
车身结构,5门5座SUV,5门5座SUV,5门5座SUV
车门开启方式,平开门,平开门,平开门
轮距(mm),1605,1595,1595
辅助泊车入位,-,-,-
辅助驾驶等级,L2,L2,L2
辅助驾驶系统,Toyota Safety Sense,Toyota Safety Sense,Toyota Safety Sense
进入功能,排,排,排
钥匙类型,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙
长*宽*高(mm),4665*1855*1690,4665*1855*1690,4665*1855*1690
阻系数(Cd),-,-,-
驱动方式,置驱,置四驱,置四驱
驾驶辅助,360度全景,360度全景,360度全景
