param_name,2025款 e:PHEV 尊享,2025款 e:PHEV 尊贵,2025款 e:PHEV 至尊
/头部(气帘),/ 后,/ 后,/ 后
4G/5G网络,4G,4G,4G
NEDC纯电续航里程(km),91,91,91
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个
WLTC(L/100km),1.61,1.61,1.75
WLTC纯电续航里程(km),73,73,71
三电系统,八15公里,八15公里,八15公里
上市,2024.10,2024.10,2024.10
中控屏幕尺寸,10.1英寸,10.1英寸,10.1英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,-,主 / 副
主座椅方式,后 靠背 高低(4向) 腰部(4向),后 靠背 高低(2向),后 靠背 高低(4向) 腰部(4向)
内后视镜功能,自动防眩目,自动防眩目,自动防眩目 流媒体
制动器类型,通盘式,通盘式,通盘式
制动类型,电子,电子,电子
副座椅方式,后 靠背,后 靠背,后 靠背
厂商指导价,24.89,22.59,26.99
发动机,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4
发动机型,LFB20,LFB20,LFB20
发动机布局,横置,横置,横置
发动机特有技术,i-VTEC,i-VTEC,i-VTEC
发动机： 2.0L,车身结构： SUV,座位数： 5座,能源： 插电式混合动力
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
可变功能,软硬,软硬,软硬
后备厢(L),-,-,-
外后视镜功能,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠
多媒体/充电,USB Type-C,USB Type-C,USB Type-C
多媒体系统,空调,航,车窗
天窗类型,可开启全景天窗,可开启全景天窗,可开启全景天窗
安全带未系提醒,全车,全车,全车
官方0-100km/h加速(s),-,-,-
巡航系统,全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),5,5,5
感应雨刷功能,雨量感应式,-,雨量感应式
手机APP远程功能,车门控制 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车
手机互联/映射,支持CarLife,支持CarLife,支持CarLife
手机无线充电功能,-,-,排
换挡形式,按键式换挡,按键式换挡,按键式换挡
排座椅功能,通,-,通
接近角(°),16,16,16
方向盘位置,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色
最低荷电状态(L/100km)NEDC,4.8,4.8,4.8
最低荷电状态(L/100km)WLTC,5.5,5.5,5.81
最大净功率(kW),110,110,110
最大功率(kW),-,-,-
最大功率转速(rpm),6100,6100,6100
最大扭矩(N·m),-,-,-
最大扭矩转速(rpm),4500,4500,4500
最大满载(kg),2430,2430,2430
最大马力(Ps),150,150,150
最小转弯半径(m),5.5,5.5,5.5
最高车速(km/h),193,193,193
每缸(个),4,4,4
毫米波雷达数量,1个,1个,5个
液晶仪表尺寸,10.2英寸,10.2英寸,10.2英寸
环保标准,国VI,国VI,国VI
电动座椅记忆功能,驾驶位,-,驾驶位
电动机(Ps),184,184,184
电动机总功率(kW),135,135,135
电动机总扭矩(N·m),335,335,335
电动机总马力(Ps),184,184,184
电动机最大功率(kW),135,135,135
电动机最大扭矩(N·m),335,335,335
电机类型,/,/,/
电池类型,电池,电池,电池
电池能量(kWh),17.7,17.7,17.7
百公里耗(kWh/100km),14.6,14.6,14.6
离去角(°),21,21,21
空调温度控制方式,自动空调,自动空调,自动空调
第二排座椅,后 靠背,后 靠背,后 靠背
经销商参考价,暂无报价,暂无报价,暂无报价
胎压监测功能,胎压报警,胎压报警,胎压报警
能源类型,插电式混合动力,插电式混合动力,插电式混合动力
语音分区域唤醒识别,单区域,单区域,单区域
语音助手唤醒词,你好，,你好，,你好，
语音识别控制系统,多媒体系统 航 空调 车窗,多媒体系统 航 空调 车窗,多媒体系统 航 空调 车窗
超声波雷达数量,4个,4个,12个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,单色,-,单色
车窗一键降功能,驾驶位,驾驶位,全车
车身结构,5门5座SUV,5门5座SUV,5门5座SUV
车载智能系统,Honda Connect,Honda Connect,Honda Connect
车门开启方式,平开门,平开门,平开门
轮距(mm),1611,1611,1611
辅助驾驶等级,L2,L2,L2
辅助驾驶系统,Honda SENSING,Honda SENSING,Honda SENSING 360
进入功能,排,排,排
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙 钥匙
长*宽*高(mm),4716*1866*1681,4716*1866*1681,4716*1866*1681
阻系数(Cd),-,-,-
驱动方式,置驱,置驱,置驱
驾驶辅助,360度全景,倒车,360度全景 车侧盲区
