param_name,车型1_41.87,车型2_45.97,车型3_60.47,车型4_47.97,车型5_49.77,车型6_65.62,车型7_66.62
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,5G,5G,5G,5G,5G,5G,5G
OTA级,-,-,-,-,-,-,-
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个
WLTC(L/100km),7.4,7.6,8.6,7.6,7.6,8.6,8.6
上市,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06
中控下屏幕尺寸,8.6英寸,8.6英寸,8.6英寸,8.6英寸,8.6英寸,8.6英寸,8.6英寸
中控屏幕尺寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向)
内后视镜功能,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目
制动类型,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向)
厂商指导价,41.87,45.97,60.47,47.97,49.77,65.62,66.62
发动机,2.0T 245马力 L4,2.0T 245马力 L4,3.0T 340马力 V6,2.0T 245马力 L4,2.0T 245马力 L4,3.0T 340马力 V6,3.0T 340马力 V6
发动机型,DTK,DTK,DLZ,DTK,DTK,DLZ,DLZ
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
