param_name,车型1_36.80,车型2_40.80,车型3_45.80,车型4_43.99,车型5_48.59,车型6_53.99
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,5G,5G,5G,4G 5G,4G 5G,4G 5G
CLTC纯电续航里程(km),602,713,651,618,713,651
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个
上市,2026.02,2026.02,2026.02,2025.09,2025.09,2025.09
中控屏幕尺寸,14.9英寸,14.9英寸,14.9英寸,14.9英寸,14.9英寸,14.9英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向) (￥2400),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向)
内后视镜功能,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目
制动器类型,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向) (￥2400),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向)
厂商指导价,36.80,40.80,45.80,43.99,48.59,53.99
变速箱类型,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱
可变功能,软硬 高低,软硬 高低,软硬 高低,软硬 高低,软硬 高低,软硬 高低
后备厢(L),460,460,460,460,460,460
后电动机品牌,采埃孚电驱动科技,采埃孚电驱动科技,采埃孚电驱动科技,采埃孚电驱动科技,采埃孚电驱动科技,采埃孚电驱动科技
后电动机最大功率(kW),200,240,240,200,240,240
后电动机最大扭矩(N·m),410,410,410,410,410,410
后雨刷,-,-,-,-,-,-
外后视镜功能,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目
多媒体/充电,HDMI Type-C,HDMI Type-C,HDMI Type-C,HDMI Type-C,HDMI Type-C,HDMI Type-C
天窗类型,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗
安全带未系提醒,全车,全车,全车,全车,全车,全车
官方0-100km/h加速(s),6.7,6.7,4.2,6.7,6.7,4.2
巡航系统,自应巡航 全速自应巡航 (￥15500),自应巡航 全速自应巡航 (￥15500),全速自应巡航,自应巡航 全速自应巡航 (￥15500),自应巡航 全速自应巡航 (￥15500),全速自应巡航
座位数(个),5,5,5,5,5,5
座椅形式,-,-,-,-,-,-
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机APP远程功能,车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车
