param_name,车型10_17.15,车型11_16.20,车型12_18.00,车型13_19.85,车型14_20.45,车型15_20.15,车型16_20.65,车型17_14.77,车型18_14.97,车型19_16.47,车型1_15.87,车型20_17.07,车型21_18.57,车型22_20.77,车型23_16.37,车型24_15.97,车型25_19.20,车型26_20.95,车型27_21.55,车型28_21.25,车型29_21.85,车型2_13.07,车型30_15.27,车型31_13.77,车型32_13.57,车型33_14.57,车型34_15.27,车型35_13.77,车型36_13.57,车型37_13.57,车型38_13.77,车型39_15.27,车型3_13.27,车型4_14.77,车型5_15.37,车型6_15.77,车型7_16.37,车型8_14.87,车型9_15.07
(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
/头部(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4G/5G网络,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,-,-,-,4G,4G,4G,4G,4G,4G,4G
USB/Type-C数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2023.08,2023.08,2023.08,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01
中控屏幕尺寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,-,-,-,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主座椅方式,后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向)
