param_name,车型1_15.38,车型2_16.98,车型3_13.38,车型4_13.98,车型5_14.98,车型6_15.38,车型7_16.38,车型8_17.78
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,5G,5G,5G,5G,5G,5G,5G,5G
CLTC纯电续航里程(km),620,565,501,501,501,501,501,501
HUD抬头尺寸,12英寸,12英寸,-,-,-,-,-,12英寸
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个
上市,2026.03,2026.03,2025.04,2025.04,2025.09,2025.04,2025.04,2025.09
中控屏幕尺寸,15.6英寸,15.6英寸,12.8英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(2向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(4向) 腰部(4向)
内后视镜功能,自动防眩目,自动防眩目,手动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目
制动器类型,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背,后 靠背 高低(2向) 腿托 腰部(4向),后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背 高低(2向) 腰部(4向)
功率(kW),-,-,195,195,195,215,215,215
厂商指导价,15.38,16.98,13.38,13.98,14.98,15.38,16.38,17.78
变速箱类型,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱
可变功能,软硬,软硬,-,-,软硬,软硬,软硬,软硬
后备厢(L),-,-,-,-,-,-,-,-
后电动机最大功率(kW),240,240,160,160,160,200,200,200
后电动机最大扭矩(N·m),305,305,310,310,310,310,310,310
地图品牌,百度,百度,百度,百度,百度,百度,百度,百度
备厢(L),151,151,151,151,151,151,151,151
外后视镜功能,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠
多媒体/充电,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C
