param_name,车型1_26.10,车型2_27.50,车型3_27.50
(ASR/TCS/TRC等),-,-,-
/头部(气帘),-,-,-
NEDC纯电续航里程(km),190,210,190
OTA级,-,-,-
USB/Type-C数量,-,-,-
三电系统,五20公里,五20公里,五20公里
上市,2023.08,2023.08,2023.08
中控屏幕尺寸,-,-,-
主/副驾驶座安全,-,-,-
主/副驾驶座电动,-,-,-
主动刹车/主动安全系统,-,-,-
主座椅方式,-,-,-
内后视镜功能,-,-,-
制动类型,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-
副座椅方式,-,-,-
卫星航系统,-,-,-
厂商指导价,26.10,27.50,27.50
变速箱,简称 电动车单速变速箱 电动车单速变速箱 电动车单速变速箱,挡位个数 1 1 1,变速箱类型 变速箱 变速箱 变速箱
变速箱类型,变速箱,变速箱,变速箱
后备厢(L),-,-,-
后雨刷,-,-,-
启动系统,-,-,-
外后视镜功能,-,-,-
多媒体/充电,USB,USB,USB
天窗类型,-,-,-
安全带未系提醒,主驾驶位,主驾驶位,主驾驶位
官方0-100km/h加速(s),-,-,-
巡航系统,-,-,-
座位数(个),3,3,3
座椅形式,-,-,-
感应雨刷功能,-,-,-
手机互联/映射,-,-,-
手机无线充电功能,-,-,-
排座椅功能,-,-,-
方向盘位置,手动+后,手动+后,手动+后
最大功率(kW),120,120,120
最大扭矩(N·m),1000,1000,1000
最大满载(kg),4495,4495,4495
最大载重(kg),1070,1250,1250
最高车速(km/h),100,100,100
液晶仪表尺寸,-,-,-
温度分区控制,-,-,-
电动座椅记忆功能,-,-,-
电动机(Ps),163,163,163
电动机总功率(kW),120,120,120
电动机总扭矩(N·m),1000,1000,1000
电动机总马力(Ps),163,163,163
电机类型,/,/,/
电池(小时),1.2,1.5,1.5
电池能量(kWh),81.14,89.1,89.1
电池能量密度(Wh/kg),146.7,154.59,154.59
电芯品牌,宁德时代,宁德时代,宁德时代
空调温度控制方式,-,-,-
第二排座椅,-,-,-
经销商参考价,暂无报价,暂无报价,暂无报价
胎压监测功能,-,-,-
能源类型,纯电动,纯电动,纯电动
语音识别控制系统,-,-,-
货箱尺寸(mm),4080x2100x2100,4080x2100x2100,4080x2100x400
车体结构,-,-,-
车内化妆镜,-,-,-
车内环境氛围灯,-,-,-
车窗一键降功能,-,-,-
车窗防夹手功能,-,-,-
车联网,-,-,-
车身控制(ESC/ESP/DSC等),-,-,-
车身结构,货车,货车,货车
车道保持辅助系统,-,-,-
车道偏离系统,-,-,-
车门开启方式,-,-,-
辅助泊车入位,-,-,-
进入功能,-,-,-
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),5995*2175*3135,5995*2140*3135,5995*2180*3135
阻系数(Cd),-,-,-
驱动方式,中置,中置,中置
驾驶辅助,倒车,倒车,倒车
