param_name,车型1_16.78,车型2_16.78,车型3_16.88,车型4_16.88
三电系统,-,-,-,-
上市,2023.08,2023.08,2023.08,2023.08
制动类型,-,-,-,-
厂商指导价,16.78,16.78,16.88,16.88
发动机,-,-,-,-
发动机型,-,-,-,-
发动机布局,-,-,-,-
变速箱,-,-,-,-
变速箱类型,-,-,-,-
后备厢(L),-,-,-,-
官方0-100km/h加速(s),-,-,-,-
座位数(个),-,-,-,-
悬架类型,-,-,-,-
最大净功率(kW),-,-,-,-
最大功率(kW),-,-,-,-
最大功率转速(rpm),-,-,-,-
最大扭矩(N·m),-,-,-,-
最大扭矩转速(rpm),-,-,-,-
最大满载(kg),-,-,-,-
最大载重(kg),-,-,-,-
最大马力(Ps),-,-,-,-
最高车速(km/h),-,-,-,-
每缸(个),-,-,-,-
电动机(Ps),-,-,-,-
电动机总功率(Ps),-,-,-,-
电动机总功率(kW),-,-,-,-
电动机总扭矩(N·m),-,-,-,-
电动机最大功率(kW),-,-,-,-
电动机最大扭矩(N·m),-,-,-,-
电机类型,-,-,-,-
电池类型,-,-,-,-
电池能量(kWh),-,-,-,-
电芯品牌,-,-,-,-
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价
能源类型,-,-,-,-
车体结构,-,-,-,-
车身结构,-,-,-,-
车门开启方式,-,-,-,-
轮距(mm),-,-,-,-
长*宽*高(mm),-,-,-,-
阻系数(Cd),-,-,-,-
驱动方式,-,-,-,-
