param_name,2023款 厢货式,2023款 栏板式
NEDC纯电续航里程(km),270,270
上市,2023.08,2023.08
制动类型,手刹,手刹
厂商指导价,16.68,16.28
变速箱类型,变速箱,变速箱
后备厢(L),-,-
后电动机最大功率(kW),60,60
后电动机最大扭矩(N·m),220,220
官方0-100km/h加速(s),-,-
座位数(个),2,2
接近角(°),28,28
最大功率(kW),60,60
最大扭矩(N·m),220,220
最大满载(kg),2600,2600
最大爬坡度(%),20,20
最高车速(km/h),80,80
电动机(Ps),82,82
电动机总功率(kW),60,60
电动机总扭矩(N·m),220,220
电动机总马力(Ps),82,82
电机类型,/,/
电池能量(kWh),41.932,41.932
电芯品牌,国轩高科,国轩高科
离去角(°),23,24
经销商参考价,暂无报价,暂无报价
能源类型,纯电动,纯电动
货箱尺寸(mm),2740x1630x1570,2900x1610x370
车身结构,货车,货车
车门开启方式,-,-
长*宽*高(mm),4835*1690*2370,4820*1690*1980
阻系数(Cd),-,-
