param_name,车型1_18.99,车型2_20.99,车型3_20.99,车型4_22.99
/头部(气帘),/ 后,/ 后,/ 后,/ 后
4G/5G网络,5G,5G,5G,5G
CLTC纯电续航里程(km),672,672,825,825
USB/Type-C数量,排3个/1个,排3个/1个,排3个/1个,排3个/1个
USB/Type-C最大充电功率,60W,60W,60W,60W
上市,2025.07,2025.07,2025.07,2025.07
中控屏幕尺寸,14.6英寸,14.6英寸,14.6英寸,14.6英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向)
内后视镜功能,自动防眩目,自动防眩目,自动防眩目,自动防眩目
制动器类型,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子
副座椅方式,后 靠背 高低(2向) 腿托,后 靠背 高低(2向) 腿托,后 靠背 高低(2向) 腿托,后 靠背 高低(2向) 腿托
厂商指导价,18.99,20.99,20.99,22.99
变速箱类型,变速箱,变速箱,变速箱,变速箱
后备厢(L),670-1802,670-1802,670-1802,670-1802
后电动机品牌,锐湃动力,锐湃动力,锐湃动力,锐湃动力
后电动机最大功率(kW),250,250,250,250
后电动机最大扭矩(N·m),430,430,430,430
后雨刷,-,-,-,-
地图品牌,高德,高德,高德,高德
备厢(L),55,55,55,55
外后视镜功能,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠
多媒体/充电,USB Type-C,USB Type-C,USB Type-C,USB Type-C
天窗类型,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗
安全带未系提醒,全车,全车,全车,全车
官方0-100km/h加速(s),5.8,5.8,6.2,6.2
对外放电功率(kW),3.3,3.3,3.3,3.3
巡航系统,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航
