param_name,车型10_17.59,车型11_17.99,车型12_18.89,车型13_17.09,车型14_17.99,车型15_18.39,车型16_19.29,车型17_23.89,车型18_24.29,车型1_16.49,车型2_16.89,车型3_17.29,车型4_17.69,车型5_18.19,车型6_18.59,车型7_17.69,车型8_18.39,车型9_16.69
/头部(气帘),/ 后,/ 后,/ 后,-,/ 后,/ 后,/ 后,/ 后,/ 后,-,-,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,-
4G/5G网络,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G
CLTC纯电续航里程(km),108,108,108,55,108,108,108,108,108,108,108,108,108,108,108,108,108,55
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排3个/2个,排3个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个
USB/Type-C最大充电功率,60W,60W,60W,60W,60W,60W,60W,60W,60W,60W,60W,60W,60W,60W,60W,60W,60W,60W
WLTC(L/100km),1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49
WLTC纯电续航里程(km),84,84,84,-,84,84,84,84,84,84,84,84,84,84,84,84,84,-
三电系统,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,-,-,-,-,-,-,-,-,首任车主不限年限/里程（责任免除条款以官方为准）
上市,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2023.11
中控屏幕尺寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,-,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,-
主座椅方式,后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(2向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(2向)
内后视镜功能,手动防眩目,手动防眩目,自动防眩目,手动防眩目,手动防眩目,手动防眩目,自动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目
制动器类型,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背 腿托,后 靠背 腿托,后 靠背,后 靠背,后 靠背
功率(kW),38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86,38.86
厂商指导价,17.59,17.99,18.89,17.09,17.99,18.39,19.29,23.89,24.29,16.49,16.89,17.29,17.69,18.19,18.59,17.69,18.39,16.69
发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4
发动机型,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机特有技术,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环
变速箱,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT
变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
后备厢(L),1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634
地图品牌,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德
外后视镜功能,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠
多媒体/充电,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C
天窗类型,可开启全景天窗,可开启全景天窗,可开启全景天窗,-,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,-
安全带未系提醒,排 第二排,排 第二排,排 第二排,排 第二排,排 第二排,排 第二排,排 第二排,排 第二排,排 第二排,排,排,排,排,排,排,排 第二排,排 第二排,排 第二排
官方0-100km/h加速(s),7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
官方0-50km/h加速(s),3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
对外放电功率(kW),6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
巡航系统,定速巡航,全速自应巡航,全速自应巡航,定速巡航,定速巡航,全速自应巡航,全速自应巡航,定速巡航,定速巡航,定速巡航,定速巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,定速巡航
座位数(个),5,5,5,7,7,7,7,5,7,5,7,5,7,5,7,6,6,5
座椅布局,-,-,-,2-3-2,2-3-2,2-3-2,2-3-2,-,2-3-2,-,2-3-2,-,2-3-2,-,2-3-2,2-2-2,2-2-2,-
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
