param_name,车型10_21.38,车型11_22.18,车型12_22.18,车型13_21.48,车型14_22.28,车型15_22.28,车型16_21.48,车型17_22.28,车型18_22.28,车型1_21.58,车型2_22.38,车型3_22.38,车型4_21.58,车型5_22.38,车型6_22.38,车型7_21.48,车型8_22.28,车型9_22.28
(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
(EBD/CBC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
/头部(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OTA级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USB/Type-C数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
三电系统,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里,五20公里
上市,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11
中控屏幕尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控彩色屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主座椅方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
卫星航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价,21.38,22.18,22.18,21.48,22.28,22.28,21.48,22.28,22.28,21.58,22.38,22.38,21.58,22.38,22.38,21.48,22.28,22.28
变速箱类型,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱
后备厢(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座位数(个),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
座椅形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动
显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大满载(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机(Ps),82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
电动机总功率(kW),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
电动机总马力(Ps),82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
电机类型,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
电池(小时),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
