param_name,车型1_20.80,车型2_22.80,车型3_19.80
(ASR/TCS/TRC等),-,-,-
/头部(气帘),-,-,-
NEDC纯电续航里程(km),280,300,245
OTA级,-,-,-
USB/Type-C数量,-,-,-
上市,2024.08,2024.08,2024.09
中控屏幕尺寸,-,-,-
中控彩色屏幕,-,-,-
主/副驾驶座安全,-,-,-
主/副驾驶座电动,-,-,-
主动刹车/主动安全系统,-,-,-
主座椅方式,后 靠背,后 靠背,后 靠背
内后视镜功能,-,-,-
制动类型,手刹,手刹,手刹
刹车辅助(EBA/BAS/BA等),-,-,-
副座椅方式,-,-,-
卫星航系统,-,-,-
厂商指导价,20.80,22.80,19.80
变速箱,简称 电动车单速变速箱 电动车单速变速箱 电动车单速变速箱,挡位个数 1 1 1,变速箱类型 变速箱 变速箱 变速箱
变速箱类型,变速箱,变速箱,变速箱
后备厢(L),-,-,-
后电动机最大功率(kW),70,70,70
后电动机最大扭矩(N·m),230,230,230
后雨刷,-,-,-
启动系统,-,-,-
外后视镜功能,-,-,-
多功能方向盘,-,-,-
多媒体/充电,USB,USB,USB
天窗类型,-,-,-
安全带未系提醒,主驾驶位,主驾驶位,主驾驶位
官方0-100km/h加速(s),-,-,-
巡航系统,-,-,-
座位数(个),2/5,11-13,2/5
座椅形式,-,-,-
感应雨刷功能,-,-,-
手机互联/映射,-,-,-
手机无线充电功能,-,-,-
换挡形式,电子式旋钮换挡,电子式旋钮换挡,电子式旋钮换挡
排座椅功能,-,-,-
接近角(°),18,18,18
方向盘位置,-,-,-
显示屏幕,-,-,-
最大功率(kW),70,70,70
最大扭矩(N·m),230,230,230
最大满载(kg),3250,4000,3160
最大爬坡度(%),20,20,20
最高车速(km/h),90,90,90
液晶仪表尺寸,-,-,-
温度分区控制,-,-,-
电动座椅记忆功能,-,-,-
电动机(Ps),95,95,95
电动机总功率(kW),70,70,70
电动机总扭矩(N·m),230,230,230
电动机总马力(Ps),95,95,95
电机类型,/,/,/
电池能量(kWh),53.58,53.58,41.86
离去角(°),17,17,17
空调温度控制方式,手动空调,手动空调,手动空调
第二排座椅,-,-,-
经销商参考价,暂无报价,暂无报价,暂无报价
胎压监测功能,-,-,-
能源类型,纯电动,纯电动,纯电动
语音识别控制系统,-,-,-
货箱尺寸(mm),3275x1565x1375,-,3275x1565x1375
车内化妆镜,-,-,-
车内环境氛围灯,-,-,-
车窗一键降功能,-,-,-
车窗防夹手功能,-,-,-
车联网,-,-,-
车身控制(ESC/ESP/DSC等),-,-,-
车身结构,货车,客车,货车
车道保持辅助系统,-,-,-
车道偏离系统,-,-,-
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
辅助泊车入位,-,-,-
进入功能,-,-,-
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),5300*1700*1980,5300*1700*1980,5300*1700*1980
阻系数(Cd),-,-,-
驾驶辅助,倒车,倒车,倒车
