param_name,2025款 卓越,2025款 境智行,2025款 标准,2025款 标准Ⅰ,2025款 行业,2025款 进阶,2026款 赤兔标准
/头部(气帘),-,/ 后,-,/ 后,-,/ 后,-
4G/5G网络,4G,4G,4G,4G,4G,4G,4G
CLTC纯电续航里程(km),152,152,152,152,152,150,152
CLTC续航(km),1200,1200,1200,1200,1200,1180,1200
USB/Type-C数量,排4个/2个,排4个/2个,排4个/2个,排4个/2个,排4个/2个,排4个/2个,排4个/2个
WLTC(L/100km),1.39,1.39,1.33,1.33,1.39,1.46,1.39
WLTC纯电续航里程(km),126,126,126,126,126,122,126
三电系统,-,-,-,-,-,-,八15公里
上市,2025.04,2025.04,2026.01,2025.11,2025.09,2026.01,2025.10
中控屏幕尺寸,12.8英寸,12.8英寸,15.6英寸,15.6英寸,12.8英寸,15.6英寸,12.8英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向)
内后视镜功能,自动防眩目,自动防眩目 流媒体,手动防眩目,自动防眩目 流媒体,自动防眩目,自动防眩目 流媒体,自动防眩目
准拖挂车总(kg),-,-,-,-,-,2500,-
制动器类型,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背 高低(2向) 腰部(4向),后 靠背 高低(2向) 腿托 腰部(4向),后 靠背 高低(2向),后 靠背 高低(2向) 腿托 腰部(4向),后 靠背 高低(2向) 腰部(4向),后 靠背 高低(2向) 腿托 腰部(4向),后 靠背 高低(2向) 腰部(4向)
副驾娱乐屏尺寸,12.8英寸,12.8英寸,15.6英寸,15.6英寸,12.8英寸,15.6英寸,12.8英寸
功率(kW),60,60,60,60,60,60,60
厂商指导价,17.98,19.98,17.98,20.48,23.18,27.98,26.98
发动机,增程器 188马力,增程器 188马力,增程器 188马力,增程器 188马力,增程器 188马力,增程器 188马力,增程器 188马力
发动机型,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H,A156T2H
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱类型,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱
后备厢(L),-,-,-,-,-,-,-
后电动机最大功率(kW),250,250,250,250,250,250,250
地图品牌,高德,高德,高德,高德,高德,高德,高德
外后视镜功能,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 锁车自动折叠,电动 电动折叠 后视镜记忆 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠
多媒体/充电,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C
多媒体系统,航,空调,天窗,车窗,座椅,座椅通,座椅按摩
天窗类型,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗
安全带未系提醒,排,排,排,排,排,排,排
官方0-100km/h加速(s),-,-,-,-,-,-,-
对外放电功率(kW),3.5,3.5,3.5,3.5,3.5,3.5,3.5
巡航系统,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),5,5,5,5,5,5,5
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机APP远程功能,车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 方向盘 座椅 座椅通 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 方向盘 座椅 座椅通 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 座椅 座椅通 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 方向盘 座椅 座椅通 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 方向盘 座椅 座椅通 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 方向盘 座椅 座椅通 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 方向盘 座椅 座椅通 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修
手机互联/映射,支持CarPlay 亿连,支持CarPlay 亿连,支持CarPlay 亿连,支持CarPlay 亿连,亿连,支持CarPlay 亿连,亿连
手机无线充电功率,-,50W,-,50W,50W,50W,-
手机无线充电功能,-,排,-,排,排,排,-
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡
排座椅功能,通,通 按摩,通,通 按摩,通,通 按摩,通
接近角(°),38,38,38,38,38,40,38
放置方式,背负式,背负式,背负式,背负式,背负式,背负式,背负式
方向盘位置,电动+后,电动+后,手动+后,手动+后,电动+后,手动+后,电动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最低荷电状态(L/100km)WLTC,8.68,8.68,8.3,8.3,8.68,8.45,8.68
最大净功率(kW),130,130,130,130,130,130,130
最大功率(kW),403,403,403,403,403,403,403
最大功率转速(rpm),-,-,-,-,-,-,-
最大扭矩(N·m),655,655,655,655,655,655,655
最大扭矩转速(rpm),-,-,-,-,-,-,-
最大涉水深度(mm),750,750,750,750,750,835,750
最大满载(kg),3140,3140,3140,3140,3140,3140,3140
