param_name,车型1_17.98,车型2_18.98,车型3_19.58,车型4_20.58,车型5_22.58,车型6_24.28,车型7_26.28
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,4G 5G,4G 5G,4G 5G,4G 5G,4G 5G,4G 5G,4G 5G
CLTC纯电续航里程(km),520,520,700,700,660,780,730
HUD抬头尺寸,65英寸,65英寸,65英寸,65英寸,65英寸,65英寸,65英寸
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个
USB/Type-C最大充电功率,66W,66W,66W,66W,66W,60W,60W
三电系统,八15公里,八15公里,八15公里,八15公里,八15公里,八15公里,八15公里
上市,2025.04,2025.04,2025.04,2025.04,2025.04,2025.08,2025.08
中控屏幕尺寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸,15.6英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向)
内后视镜功能,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目
制动器类型,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背 高低(2向) 高低(4向) 腿托 腰部(4向),后 靠背 高低(2向) 高低(4向) 腿托 腰部(4向),后 靠背 高低(2向) 高低(4向) 腿托 腰部(4向),后 靠背 高低(2向) 高低(4向) 腿托 腰部(4向),后 靠背 高低(2向) 高低(4向) 腿托 腰部(4向),后 靠背 高低(2向) 高低(4向) 腿托 腰部(4向),后 靠背 高低(2向) 高低(4向) 腿托 腰部(4向)
功率(kW),200,200,265,265,265,454,454
厂商指导价,17.98,18.98,19.58,20.58,22.58,24.28,26.28
变速箱类型,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱
后备厢(L),472,472,472,472,472,442,442
后电动机品牌,中国,中国,中国,中国,中国,中国,中国
后电动机最大功率(kW),210,210,210,210,210,340,340
后电动机最大扭矩(N·m),317,317,317,317,317,450,450
地图品牌,高德,高德,高德,高德,高德,高德,高德
备厢(L),48,48,48,48,48,48,48
外后视镜功能,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠
多媒体/充电,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C
天窗类型,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗
安全带未系提醒,全车,全车,全车,全车,全车,全车,全车
官方0-100km/h加速(s),7.4,7.4,7.3,7.3,4.0,4.9,3.4
对外放电功率(kW),3,3,3,3,3,6,6
巡航系统,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),5,5,5,5,5,5,5
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机APP远程功能,车门控制 车窗控制 车辆启动 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修
手机互联/映射,支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link
手机无线充电功率,40W,40W,40W,40W,40W,40W,40W
手机无线充电功能,排,排,排,排,排,排,排
换挡形式,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡
排座椅功能,通 按摩,通 按摩,通 按摩,通 按摩,通 按摩,通 按摩,通 按摩
接近角(°),17,17,17,17,17,17,17
方向盘位置,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,-,-,-,-,-,-,-
最大功率(kW),210,210,210,210,412,340,520
最大扭矩(N·m),317,317,317,317,623,450,770
最大满载(kg),2447,2447,2550,2550,2655,2568,2668
最小(mm),150,150,150,150,150,150,150
最高车速(km/h),210,210,210,210,210,210,230
毫米波雷达数量,2个,1个,2个,1个,1个,1个,1个
液晶仪表尺寸,-,-,-,-,-,-,-
电动座椅记忆功能,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位
电动机(Ps),286,286,286,286,560,462,707
电动机品牌,-,-,-,-,中国,-,中国
电动机总功率(kW),210,210,210,210,412,340,520
电动机总扭矩(N·m),317,317,317,317,623,450,770
电动机总马力(Ps),286,286,286,286,560,462,707
电动机最大功率(kW),-,-,-,-,202,-,180
电动机最大扭矩(N·m),-,-,-,-,306,-,320
电机类型,/,/,/,/,/,/,/
电池(小时),0.33,0.33,0.33,0.33,0.33,0.2,0.2
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池能量(kWh),62,62,85,85,85,98,98
电池范围(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80
电能当量燃料消耗量(L/100km),1.5,1.5,1.56,1.56,1.61,1.56,1.65
电芯品牌,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代
百公里耗(kWh/100km),12.9,12.9,13.4,13.4,13.9,13.4,14.2
离去角(°),21,21,21,21,21,21,21
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,靠背,靠背,靠背,靠背,靠背,靠背,靠背
经销商参考价,16.98万起,17.98万起,18.58万起,19.58万起,21.58万起,23.28万起,25.28万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
语音分区域唤醒识别,四区域,四区域,四区域,四区域,四区域,四区域,四区域
语音助手唤醒词,嗨，,嗨，,嗨，,嗨，,嗨，,嗨，,嗨，
语音识别控制系统,多媒体系统 航 空调 车窗 座椅 座椅通 座椅按摩,多媒体系统 航 空调 车窗 座椅 座椅通 座椅按摩,多媒体系统 航 空调 车窗 座椅 座椅通 座椅按摩,多媒体系统 航 空调 车窗 座椅 座椅通 座椅按摩,多媒体系统 航 空调 车窗 座椅 座椅通 座椅按摩,多媒体系统 航 空调 车窗 座椅 座椅通 座椅按摩,多媒体系统 航 空调 车窗 座椅 座椅通 座椅按摩
超声波雷达数量,12个,12个,12个,12个,12个,12个,12个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内数量,1个,2个,1个,2个,2个,2个,2个
车内环境氛围灯,多色,多色,多色,多色,多色,多色,多色
车窗一键降功能,全车,全车,全车,全车,全车,全车,全车
车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
轮距(mm),1639,1639,1639,1639,1639,1639,1639
辅助驾驶等级,L2,L2,L2,L2,L2,L2,L2
辅助驾驶芯片,-,高通SA8650P,-,高通SA8650P,高通SA8650P,高通SA8650P,高通SA8650P
辅助驾驶路段,-,路段 高速路段,-,路段 高速路段,路段 高速路段,路段 高速路段,路段 高速路段
进入功能,全车,全车,全车,全车,全车,全车,全车
钥匙类型,钥匙 UWB数字钥匙 NFC/RFID钥匙,钥匙 UWB数字钥匙 NFC/RFID钥匙,钥匙 UWB数字钥匙 NFC/RFID钥匙,钥匙 UWB数字钥匙 NFC/RFID钥匙,钥匙 UWB数字钥匙 NFC/RFID钥匙,钥匙 UWB数字钥匙 NFC/RFID钥匙,钥匙 UWB数字钥匙 NFC/RFID钥匙
长*宽*高(mm),4750*1900*1640,4750*1900*1640,4750*1900*1640,4750*1900*1640,4750*1900*1640,4750*1900*1640,4750*1900*1640
阻系数(Cd),-,-,-,-,-,-,-
驾驶辅助,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景
