param_name,车型10_11.98,车型11_13.98,车型12_15.98,车型13_13.98,车型14_15.98,车型15_17.98,车型16_15.98,车型17_17.98,车型18_19.98,车型1_13.48,车型2_15.48,车型3_17.48,车型4_15.68,车型5_17.68,车型6_19.68,车型7_16.98,车型8_18.98,车型9_20.98
(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
/头部(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CLTC纯电续航里程(km),251,251,251,316,316,316,286,286,286,301,301,301,280,280,280,320,320,320
OTA级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USB/Type-C数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
三电系统,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里,八40公里
上市,2024.05,2024.05,2024.05,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2025.01,2025.01,2025.01,2025.03,2025.03,2025.03,2025.05,2025.05,2025.05
中控屏幕尺寸,-,10.1英寸,14英寸,-,10.1英寸,14英寸,-,10.1英寸,14英寸,-,10.1英寸,14英寸,-,10.1英寸,14英寸,-,10.1英寸,14英寸
中控彩色屏幕,-,触控液晶屏,触控液晶屏,-,触控液晶屏,触控液晶屏,-,触控液晶屏,触控液晶屏,-,触控液晶屏,触控液晶屏,-,触控液晶屏,触控液晶屏,-,触控液晶屏,触控液晶屏
主/副驾驶座安全,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主座椅方式,后 靠背,后 靠背 腰部(2向),后 靠背 腰部(2向),后 靠背,后 靠背 腰部(2向),后 靠背 腰部(2向),后 靠背,后 靠背 腰部(2向),后 靠背 腰部(2向),后 靠背,后 靠背 腰部(2向),后 靠背 腰部(2向),后 靠背,后 靠背 腰部(2向),后 靠背 腰部(2向),后 靠背,后 靠背 腰部(2向),后 靠背 腰部(2向)
内后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
制动类型,手刹,电子,电子,手刹,电子,电子,手刹,电子,电子,手刹,电子,电子,手刹,电子,电子,手刹,电子,电子
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
卫星航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价,11.98,13.98,15.98,13.98,15.98,17.98,15.98,17.98,19.98,13.48,15.48,17.48,15.68,17.68,19.68,16.98,18.98,20.98
变速箱类型,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱
后备厢(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
后电动机最大扭矩(N·m),230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,后视镜,后视镜,电动 后视镜,后视镜,后视镜,电动 后视镜,后视镜,后视镜,电动 后视镜,后视镜,后视镜,电动 后视镜,后视镜,后视镜,电动 后视镜,后视镜,后视镜,电动 后视镜
多媒体/充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座位数(个),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
座椅形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
