param_name,车型10_77.38,车型11_69.38,车型12_79.38,车型1_50.88,车型2_55.88,车型3_65.08,车型4_65.08,车型5_75.58,车型6_55.88,车型7_58.78,车型8_67.38,车型9_67.38
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个,排3个/2个,排3个/2个,排3个/2个,排3个/2个,排3个/2个,排3个/2个,排2个/2个,排2个/2个,排2个/2个
USB/Type-C最大充电功率,-,-,-,-,-,45W,45W,45W,-,-,-,-
WLTC(L/100km),9.9,9.9,9.9,9.18,9.18,9.9,9.9,9.9,9.18,9.18,9.9,9.9
上市,2023.06,2023.08,2023.08,2025.08,2025.08,2026.02,2026.02,2026.01,2025.04,2023.06,2023.06,2023.06
中控屏幕尺寸,15英寸,15英寸,15英寸,15.05英寸,15.05英寸,15.05英寸,15.05英寸,15.05英寸,15.05英寸,15英寸,15英寸,15英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向)
内后视镜功能,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目
制动类型,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向)
厂商指导价,77.38,69.38,79.38,50.88,55.88,65.08,65.08,75.58,55.88,58.78,67.38,67.38
发动机,3.0T 340马力 V6,3.0T 340马力 V6,3.0T 340马力 V6,2.0T 265马力 L4,2.0T 265马力 L4,3.0T 340马力 V6,3.0T 340马力 V6,3.0T 340马力 V6,2.0T 265马力 L4,2.0T 265马力 L4,3.0T 340马力 V6,3.0T 340马力 V6
发动机型,DCB,DCB,DCB,DUV,DUV,DCB,DCB,DCB,DUV,DUV,DCB,DCB
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
可变功能,软硬 高低,软硬 高低,软硬 高低,软硬 高低,软硬 高低,软硬 高低,软硬 高低,软硬 高低,软硬 高低,软硬 高低,软硬 高低,软硬 高低
后备厢(L),810-1800,810-1800,810-1800,810-1800,810-1800,810-1800,810-1800,810-1800,810-1800,810-1800,810-1800,810-1800
地图品牌,-,-,-,高德,高德,高德,高德,高德,高德,-,-,-
